sectie	sch	obj	klasse	rol	rechten
FUNC	public	fn_ai_quota_wijzigen(p_sleutel text, p_waarde integer, p_actor uuid)	function	service_role	EXECUTE
FUNC	public	fn_ai_reserveer_intern(p_actietype text, p_fonds_id uuid, p_gebruiker_id uuid, p_via_systeem boolean, p_provider text, p_model text, p_ocr_paginas integer, p_idempotentie text, p_vingerafdruk text, p_dryrun boolean)	function	anon	-
FUNC	public	fn_ai_reserveer_intern(p_actietype text, p_fonds_id uuid, p_gebruiker_id uuid, p_via_systeem boolean, p_provider text, p_model text, p_ocr_paginas integer, p_idempotentie text, p_vingerafdruk text, p_dryrun boolean)	function	authenticated	-
FUNC	public	fn_ai_reserveer_intern(p_actietype text, p_fonds_id uuid, p_gebruiker_id uuid, p_via_systeem boolean, p_provider text, p_model text, p_ocr_paginas integer, p_idempotentie text, p_vingerafdruk text, p_dryrun boolean)	function	service_role	-
FUNC	public	fn_ai_switch_stoppen(p_sleutel text, p_actor uuid, p_reden text)	function	anon	-
FUNC	public	fn_ai_switch_stoppen(p_sleutel text, p_actor uuid, p_reden text)	function	authenticated	-
FUNC	public	fn_ai_switch_stoppen(p_sleutel text, p_actor uuid, p_reden text)	function	service_role	EXECUTE
FUNC	public	fn_app_error_log(p_label text, p_categorie text, p_severity text, p_http_status integer, p_fouttype text, p_foutcode text, p_melding_kort text, p_context_sleutels text[], p_correlatie_id uuid)	function	anon	-
FUNC	public	fn_app_error_log(p_label text, p_categorie text, p_severity text, p_http_status integer, p_fouttype text, p_foutcode text, p_melding_kort text, p_context_sleutels text[], p_correlatie_id uuid)	function	authenticated	EXECUTE
FUNC	public	fn_app_error_log(p_label text, p_categorie text, p_severity text, p_http_status integer, p_fouttype text, p_foutcode text, p_melding_kort text, p_context_sleutels text[], p_correlatie_id uuid)	function	service_role	EXECUTE
FUNC	public	fn_audit_procedure_bewijs_mutation()	function	anon	-
FUNC	public	fn_audit_procedure_bewijs_mutation()	function	authenticated	-
FUNC	public	fn_audit_procedure_bewijs_mutation()	function	service_role	EXECUTE
FUNC	public	fn_bron_whitelist_log_hash()	function	anon	-
FUNC	public	fn_bron_whitelist_log_hash()	function	authenticated	EXECUTE
FUNC	public	fn_bron_whitelist_log_hash()	function	service_role	EXECUTE
FUNC	public	fn_bron_whitelist_log_immutable()	function	anon	-
FUNC	public	fn_bron_whitelist_log_immutable()	function	authenticated	EXECUTE
FUNC	public	fn_bron_whitelist_log_immutable()	function	service_role	EXECUTE
FUNC	public	fn_build_decision_dossier(p_decision_id uuid)	function	anon	-
FUNC	public	fn_build_decision_dossier(p_decision_id uuid)	function	authenticated	EXECUTE
FUNC	public	fn_build_decision_dossier(p_decision_id uuid)	function	service_role	EXECUTE
FUNC	public	fn_chunk_denorm(p_document_id uuid)	function	anon	-
FUNC	public	fn_chunk_denorm(p_document_id uuid)	function	authenticated	EXECUTE
FUNC	public	fn_chunk_denorm(p_document_id uuid)	function	service_role	EXECUTE
FUNC	public	fn_chunk_denorm_before_insert()	function	anon	-
FUNC	public	fn_chunk_denorm_before_insert()	function	authenticated	EXECUTE
FUNC	public	fn_chunk_denorm_before_insert()	function	service_role	EXECUTE
FUNC	public	fn_chunk_denorm_refresh()	function	anon	-
FUNC	public	fn_chunk_denorm_refresh()	function	authenticated	EXECUTE
FUNC	public	fn_chunk_denorm_refresh()	function	service_role	EXECUTE
FUNC	public	fn_contact_aanvragen_no_delete()	function	anon	-
FUNC	public	fn_contact_aanvragen_no_delete()	function	authenticated	EXECUTE
FUNC	public	fn_contact_aanvragen_no_delete()	function	service_role	EXECUTE
FUNC	public	fn_decision_code()	function	anon	-
FUNC	public	fn_decision_code()	function	authenticated	EXECUTE
FUNC	public	fn_decision_code()	function	service_role	EXECUTE
FUNC	public	fn_decision_snapshot()	function	anon	-
FUNC	public	fn_decision_snapshot()	function	authenticated	EXECUTE
FUNC	public	fn_decision_snapshot()	function	service_role	EXECUTE
FUNC	public	fn_decision_status_check()	function	anon	-
FUNC	public	fn_decision_status_check()	function	authenticated	EXECUTE
FUNC	public	fn_decision_status_check()	function	service_role	EXECUTE
FUNC	public	fn_decision_touch()	function	anon	-
FUNC	public	fn_decision_touch()	function	authenticated	EXECUTE
FUNC	public	fn_decision_touch()	function	service_role	EXECUTE
FUNC	public	fn_doc_meta_log_hash()	function	anon	-
FUNC	public	fn_doc_meta_log_hash()	function	authenticated	EXECUTE
FUNC	public	fn_doc_meta_log_hash()	function	service_role	EXECUTE
FUNC	public	fn_doc_meta_log_immutable()	function	anon	-
FUNC	public	fn_doc_meta_log_immutable()	function	authenticated	EXECUTE
FUNC	public	fn_doc_meta_log_immutable()	function	service_role	EXECUTE
FUNC	public	fn_document_agendapunt_validatie()	function	anon	-
FUNC	public	fn_document_agendapunt_validatie()	function	authenticated	-
FUNC	public	fn_document_agendapunt_validatie()	function	service_role	EXECUTE
FUNC	public	fn_document_agendapunt_vergadering_check()	function	anon	-
FUNC	public	fn_document_agendapunt_vergadering_check()	function	authenticated	EXECUTE
FUNC	public	fn_document_agendapunt_vergadering_check()	function	service_role	EXECUTE
FUNC	public	fn_document_primair_vs_secundair_check()	function	anon	-
FUNC	public	fn_document_primair_vs_secundair_check()	function	authenticated	EXECUTE
FUNC	public	fn_document_primair_vs_secundair_check()	function	service_role	EXECUTE
FUNC	public	fn_document_procesinstantie_fonds_check()	function	anon	-
FUNC	public	fn_document_procesinstantie_fonds_check()	function	authenticated	EXECUTE
FUNC	public	fn_document_procesinstantie_fonds_check()	function	service_role	EXECUTE
FUNC	public	fn_document_procesinstantie_validatie()	function	anon	-
FUNC	public	fn_document_procesinstantie_validatie()	function	authenticated	EXECUTE
FUNC	public	fn_document_procesinstantie_validatie()	function	service_role	EXECUTE
FUNC	public	fn_document_status_overgang_check()	function	anon	-
FUNC	public	fn_document_status_overgang_check()	function	authenticated	EXECUTE
FUNC	public	fn_document_status_overgang_check()	function	service_role	EXECUTE
FUNC	public	fn_document_status_transitie(p_van text, p_naar text)	function	anon	-
FUNC	public	fn_document_status_transitie(p_van text, p_naar text)	function	authenticated	EXECUTE
FUNC	public	fn_document_status_transitie(p_van text, p_naar text)	function	service_role	EXECUTE
FUNC	public	fn_dossierstatus_van_decision(p_status text)	function	anon	-
FUNC	public	fn_dossierstatus_van_decision(p_status text)	function	authenticated	EXECUTE
FUNC	public	fn_dossierstatus_van_decision(p_status text)	function	service_role	EXECUTE
FUNC	public	fn_export_log_immutable()	function	anon	-
FUNC	public	fn_export_log_immutable()	function	authenticated	EXECUTE
FUNC	public	fn_export_log_immutable()	function	service_role	EXECUTE
FUNC	public	fn_fonds_config_capture()	function	anon	-
FUNC	public	fn_fonds_config_capture()	function	authenticated	EXECUTE
FUNC	public	fn_fonds_config_capture()	function	service_role	EXECUTE
FUNC	public	fn_fonds_stuurinfo_capture()	function	anon	-
FUNC	public	fn_fonds_stuurinfo_capture()	function	authenticated	EXECUTE
FUNC	public	fn_fonds_stuurinfo_capture()	function	service_role	EXECUTE
FUNC	public	fn_generiek_geldigheidsstatus(p_status text, p_bronstatus text)	function	anon	-
FUNC	public	fn_generiek_geldigheidsstatus(p_status text, p_bronstatus text)	function	authenticated	EXECUTE
FUNC	public	fn_generiek_geldigheidsstatus(p_status text, p_bronstatus text)	function	service_role	EXECUTE
